categorie,categorie_1,sous_categorie,nom,prix,lien,rayon,categorie_2,categorie_3,famille,talon,info_pointure,semelle,doublure,matiere_exterieure,matiere,couleur_principale,reference,libelle_modele,images,membrane,origine,created_at,updated_at
Femme,,Sneakers,Baskets et Sneakers -Femme -Textile -Noir  -Confort -skechers footwear,79.95,https://www.chaussuresonline.com/fr/chaussure/skechers-footwear/femme/baskets-et-sneakers/bob-squad-4-noir/5735901.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5735901_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5735901_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5735901_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5735901_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5735901_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5735901_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Textile -Léopard  -Tendance -no name,149.0,https://www.chaussuresonline.com/fr/chaussure/no-name/femme/baskets-et-sneakers/carter-jogger-leopard/8142201.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142201_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142201_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142201_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142201_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142201_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142201_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Textile -Beige  -Tendance -no name,149.0,https://www.chaussuresonline.com/fr/chaussure/no-name/femme/baskets-et-sneakers/carter-jogger-beige/8142202.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142202_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142202_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142202_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142202_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142202_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142202_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Textile -Marron  -Tendance -no name,149.0,https://www.chaussuresonline.com/fr/chaussure/no-name/femme/baskets-et-sneakers/carter-jogger-marron/8142203.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142203_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142203_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142203_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142203_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142203_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142203_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Textile -Taupe  -Tendance -satorisan,216.0,https://www.chaussuresonline.com/fr/chaussure/satorisan/femme/baskets-et-sneakers/chacrona-ozark-drift-wood-taupe/6730701.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6730701_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6730701_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6730701_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6730701_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6730701_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6730701_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Cuir -Noir  -Tendance -crime london,195.0,https://www.chaussuresonline.com/fr/chaussure/crime-london/femme/baskets-et-sneakers/chelsea-hi-noir/5851201.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5851201_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5851201_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5851201_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5851201_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5851201_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5851201_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Textile -Beige  -Tendance -no name,119.0,https://www.chaussuresonline.com/fr/chaussure/no-name/femme/baskets-et-sneakers/city-run-jogger-beige/8142101.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142101_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142101_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142101_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142101_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142101_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142101_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Cuir -Marron  -Tendance -back70,139.0,https://www.chaussuresonline.com/fr/chaussure/back70/femme/baskets-et-sneakers/cloud-606-marron/5801401.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801401_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801401_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801401_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801401_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801401_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801401_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Cuir -Vache  -Tendance -back70,159.0,https://www.chaussuresonline.com/fr/chaussure/back70/femme/baskets-et-sneakers/cloud-cl10-vache/5801701.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801701_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801701_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801701_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801701_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801701_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801701_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Cuir -Bordeaux  -Tendance -back70,139.0,https://www.chaussuresonline.com/fr/chaussure/back70/femme/baskets-et-sneakers/cloud-n-bordeaux/5801501.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801501_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801501_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801501_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801501_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801501_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5801501_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
